date,spx
15/07/2024,5631.22
12/07/2024,5615.35
11/07/2024,5584.54
10/07/2024,5633.91
09/07/2024,5576.98
08/07/2024,5572.85
05/07/2024,5567.19
03/07/2024,5537.02
02/07/2024,5509.01
01/07/2024,5475.09
28/06/2024,5460.48
27/06/2024,5482.87
26/06/2024,5477.90
25/06/2024,5469.30
24/06/2024,5447.87
21/06/2024,5464.62
20/06/2024,5473.17
18/06/2024,5487.03
17/06/2024,5473.23
14/06/2024,5431.60
13/06/2024,5433.74
12/06/2024,5421.03
11/06/2024,5375.32
10/06/2024,5360.79
07/06/2024,5346.99
06/06/2024,5352.96
05/06/2024,5354.03
04/06/2024,5291.34
03/06/2024,5283.40
31/05/2024,5277.51
30/05/2024,5235.48
29/05/2024,5266.95
28/05/2024,5306.04
24/05/2024,5304.72
23/05/2024,5267.84
22/05/2024,5307.01
21/05/2024,5321.41
20/05/2024,5308.13
17/05/2024,5303.27
16/05/2024,5297.10
15/05/2024,5308.15
14/05/2024,5246.68
13/05/2024,5221.42
10/05/2024,5222.68
09/05/2024,5214.08
08/05/2024,5187.67
07/05/2024,5187.70
06/05/2024,5180.74
03/05/2024,5127.79
02/05/2024,5064.20
01/05/2024,5018.39
30/04/2024,5035.69
29/04/2024,5116.17
26/04/2024,5099.96
25/04/2024,5048.42
24/04/2024,5071.63
23/04/2024,5070.55
22/04/2024,5010.60
19/04/2024,4967.23
18/04/2024,5011.12
17/04/2024,5022.21
16/04/2024,5051.41
15/04/2024,5061.82
12/04/2024,5123.41
11/04/2024,5199.06
10/04/2024,5160.64
09/04/2024,5209.91
08/04/2024,5202.39
05/04/2024,5204.34
04/04/2024,5147.21
03/04/2024,5211.49
02/04/2024,5205.81
01/04/2024,5243.77
28/03/2024,5254.35
27/03/2024,5248.49
26/03/2024,5203.58
25/03/2024,5218.19
22/03/2024,5234.18
21/03/2024,5241.53
20/03/2024,5224.62
19/03/2024,5178.51
18/03/2024,5149.42
15/03/2024,5117.09
14/03/2024,5150.48
13/03/2024,5165.31
12/03/2024,5175.27
11/03/2024,5117.94
08/03/2024,5123.69
07/03/2024,5157.36
06/03/2024,5104.76
05/03/2024,5078.65
